Text version of loaded midi tracks
Midi events are: Cumulative-midi-time time status data1 data2 data2
Cumulative midi time starts with the first note-on event, if there is one.
The status byte is printed in hex.  All others are decimal integers.

Number of tracks: 1

Track 0: 2347 events (skipping sysex)
     23568     38 90  70  69   0
     23578     10 90  51  61   0
     23598     20 80  70  64   0
     23664     66 80  51  64   0
     23828    164 90  75  56   0
     23838     10 90  67  34   0
     23838      0 90  63  39   0
     23838      0 90  58  35   0
     23886     48 B0  64 127   0
     23904     18 80  67  64   0
     23904      0 80  63  64   0
     23904      0 80  58  64   0
     23942     38 90  77  57   0
     24058    116 80  75  64   0
     24078     20 90  79  63   0
     24078      0 90  75  54   0
     24106     28 90  67  46   0
     24106      0 80  77  64   0
     24106      0 90  63  45   0
     24106      0 90  58  41   0
     24154     48 80  67  64   0
     24182     28 80  79  64   0
     24182      0 80  75  64   0
     24182      0 80  63  64   0
     24182      0 80  58  64   0
     24260     78 B0  64   0   0
     24356     96 90  70  68   0
     24374     18 90  50  44   0
     24422     48 80  70  64   0
     24462     40 80  50  64   0
     24586    124 B0  64 127   0
     24624     38 90  65  49   0
     24624      0 90  58  45   0
     24624      0 90  77  44   0
     24634     10 90  68  33   0
     24682     48 80  68  64   0
     24682      0 80  65  64   0
     24682      0 80  58  64   0
     24740     58 90  79  44   0
     24806     66 80  77  64   0
     24846     40 90  80  49   0
     24846      0 90  77  42   0
     24864     18 90  68  42   0
     24874     10 80  79  64   0
     24874      0 90  65  38   0
     24874      0 90  58  34   0
     24902     28 80  80  64   0
     24902      0 80  77  64   0
     24922     20 80  65  64   0
     24922      0 80  58  64   0
     24922      0 80  68  64   0
     25046    124 B0  64   0   0
     25114     68 90  82  50   0
     25114      0 90  73  42   0
     25114      0 90  79  43   0
     25124     10 90  51  40   0
     25286    162 B0  64 127   0
     25334     48 80  82  64   0
     25334      0 80  73  64   0
     25334      0 80  79  64   0
     25382     48 80  51  64   0
     25392     10 90  67  39   0
     25402     10 90  61  33   0
     25402      0 90  58  30   0
     25460     58 80  61  64   0
     25460      0 80  58  64   0
     25478     18 80  67  64   0
     25526     48 90  82  57   0
     25526      0 90  79  49   0
     25614     88 80  82  64   0
     25614      0 80  79  64   0
     25642     28 90  73  65   0
     25662     20 90  52  55   0
     25690     28 B0  64   0   0
     25748     58 80  73  64   0
     25776     28 90  82  69   0
     25776      0 90  79  60   0
     25854     78 80  52  64   0
     25862      8 80  82  64   0
     25862      0 80  79  64   0
     25892     30 90  73  63   0
     25892      0 90  73  54   0
     25910     18 90  53  55   0
     25920     10 B0  64 127   0
     26016     96 90  82  58   0
     26084     68 80  53  64   0
     26142     58 80  82  64   0
     26150      8 90  84  58   0
     26170     20 90  56  30   0
     26180     10 90  65  34   0
     26238     58 80  65  64   0
     26256     18 80  56  64   0
     26286     30 90  82  54   0
     26314     28 80  84  64   0
     26400     86 80  82  64   0
     26400      0 80  73  64   0
     26400      0 90  80  45   0
     26400      0 90  72  39   0
     26448     48 90  44  24   0
     26458     10 80  80  64   0
     26458      0 80  72  64   0
     26496     38 80  44  64   0
     26526     30 B0  64   0   0
     26688    162 90  71  37   0
     26688      0 90  71  32   0
     26698     10 90  46  47   0
     26794     96 90  80  46   0
     26794      0 B0  64 127   0
     26822     28 80  46  64   0
     26900     78 80  80  64   0
     26938     38 90  82  41   0
     26976     38 90  63  34   0
     26976      0 90  55  50   0
     27024     48 80  55  64   0
     27024      0 80  63  64   0
     27062     38 90  80  43   0
     27072     10 80  82  64   0
     27188    116 80  80  64   0
     27188      0 80  71  64   0
     27206     18 90  79  45   0
     27206      0 90  70  39   0
     27226     20 90  63  30   0
     27236     10 90  55  41   0
     27246     10 80  79  64   0
     27246      0 80  70  64   0
     27274     28 80  55  64   0
     27284     10 80  63  64   0
     27350     66 B0  64   0   0
     27476    126 90  70  36   0
     27476      0 90  70  31   0
     27486     10 90  46  43   0
     27582     96 90  79  47   0
     27590      8 B0  64 127   0
     27610     20 80  46  64   0
     27696     86 80  79  64   0
     27726     30 90  80  47   0
     27744     18 90  53  41   0
     27792     48 80  53  64   0
     27850     58 90  79  49   0
     27870     20 80  80  64   0
     27994    124 90  77  55   0
     27994      0 90  68  47   0
     28004     10 80  79  64   0
     28004      0 80  70  64   0
     28014     10 90  62  45   0
     28022      8 90  58  42   0
     28022      0 90  58  42   0
     28062     40 80  58  64   0
     28070      8 80  62  64   0
     28110     40 80  77  64   0
     28110      0 80  68  64   0
     28254    144 90  75  68   0
     28254      0 90  67  59   0
     28254      0 B0  64   0   0
     28262      8 90  51  58   0
     28340     78 80  75  64   0
     28340      0 80  67  64   0
     28378     38 80  51  64   0
     28522    144 90  75  44   0
     28598     76 80  75  64   0
     28638     40 90  75  51   0
     28724     86 80  75  64   0
     28762     38 90  75  42   0
     28772     10 90  55  32   0
     28772      0 90  51  29   0
     28772      0 90  61  38   0
     28820     48 80  61  64   0
     28820      0 80  55  64   0
     28820      0 80  51  64   0
     28868     48 80  75  64   0
     28906     38 90  75  46   0
     29002     96 80  75  64   0
     29012     10 90  44  49   0
     29030     18 90  75  40   0
     29126     96 80  75  64   0
     29126      0 80  44  64   0
     29156     30 90  75  43   0
     29242     86 80  75  64   0
     29280     38 90  56  51   0
     29280      0 90  51  46   0
     29290     10 90  75  38   0
     29300     10 90  60  20   0
     29318     18 80  56  64   0
     29318      0 80  51  64   0
     29328     10 80  60  64   0
     29338     10 80  75  64   0
     29396     58 90  75  47   0
     29444     48 80  75  64   0
     29520     76 90  75  50   0
     29530     10 90  56  42   0
     29530      0 90  51  38   0
     29540     10 90  60  27   0
     29578     38 80  56  64   0
     29578      0 80  51  64   0
     29588     10 80  60  64   0
     29636     48 90  75  57   0
     29712     76 80  75  64   0
     29750     38 90  77  57   0
     29760     10 90  44  49   0
     29856     96 90  75  58   0
     29876     20 80  77  64   0
     29886     10 80  44  64   0
     29972     86 80  75  64   0
     29982     10 90  72  51   0
     30000     18 90  56  35   0
     30000      0 90  51  32   0
